  ID                   comp_ID   pair_ID   obs_time              PA        PA_err    sep        sep_err   deltamag   deltamag_err   band    instru   
  HD93129AaAb          1         Aa-Ab     20.130.850            5.91      0.02      26.52      0.52      1.71       0.35           Ks      SAM      
  HD93129AaAb          2         A-B       n/a                   -999.00   -999.00   2800.00    -999.00   1.40       -999.00        V       MAS98    
  HD93129AaAb          2         A-B       2011.1819-2013.0850   148.07    1.84      2760.71    74.72     1.54       0.12           H       IMG      
  HD93129AaAb          2         A-B       2011.1819-2013.0850   148.07    1.84      2760.71    74.72     1.59       0.04           Ks      IMG      
  HD93129AaAb          3         A-C       n/a                   -999.00   -999.00   5000.00    -999.00   4.00       -999.00        V       MAS98    
  HD93129AaAb          3         A-C       2011.1819-2013.0850   269.23    1.34      4850.04    75.10     5.00       0.12           H       IMG      
  HD93129AaAb          3         A-C       2011.1819-2013.0850   269.23    1.34      4850.04    75.10     4.80       0.18           Ks      IMG      
  #      HD93129AaAb   4         B-D       n/a                   -999.00   -999.00   3000.00    -999.00   4.50       -999.00        V       MAS98    
  HD93129AaAb          5         A-E       2011.1819-2013.0850   189.82    2.18      1854.36    62.62     6.82       0.41           H       IMG      
  HD93129AaAb          5         A-E       2011.1819-2013.0850   189.82    2.18      1854.36    62.62     6.55       0.05           Ks      IMG      
  HD93129AaAb          6         A-F       2011.1819-2013.0850   6.90      1.57      3912.77    82.44     5.98       0.16           H       IMG      
  HD93129AaAb          6         A-F       2011.1819-2013.0850   6.90      1.57      3912.77    82.44     5.61       0.06           Ks      IMG      
  HD93129AaAb          7         A-G       2011.1819-2013.0850   337.83    1.22      4757.81    58.26     7.10       0.23           H       IMG      
  HD93129AaAb          7         A-G       2011.1819-2013.0850   337.83    1.22      4757.81    58.26     6.87       0.06           Ks      IMG      
  HD93130              1         A-B       n/a                   -999.00   -999.00   11900.00   -999.00   4.50       -999.00        V       MAS98    
  HD93130              2         Aa-Ab     20.130.685            5.47      2.60      24.04      0.79      2.29       0.09           H       PIO      
  HD93130              2         Aa-Ab     20.111.848            3.00      9.81      31.07      13.99     2.46       1.22           H       SAM      
  HD93130              2         Aa-Ab     20.111.848            3.00      9.81      31.07      13.99     2.74       1.75           Ks      SAM      
  HD93160              1         C-D       n/a                   -999.00   -999.00   3300.00    -999.00   4.10       -999.00        V       MAS98    
  HD93160              2         Ca-Cb     20.130.686            138.85    0.44      6.43       0.10      1.46       0.08           H       PIO      
  HD93160              3         Ca-Cc     20.130.686            5.04      0.55      31.10      0.38      3.77       0.35           H       PIO      
  HD93160              3         Ca-Cc     20.111.847            6.09      11.76     30.01      14.25     3.62       0.49           H       SAM      
  HD93160              3         Ca-Cc     20.111.847            6.09      11.76     30.01      14.25     2.04       1.07           Ks      SAM      
  HD93160              4         Ca-Cd     20.111.847            89.13     3.91      801.73     52.98     4.42       0.28           H       IMG      
  HD93160              4         Ca-Cd     20.111.847            89.13     3.91      801.73     52.98     4.96       0.28           Ks      IMG      
  HD93160              1         C-D       20.111.847            295.90    1.44      3707.86    67.05     4.18       0.14           H       IMG      
  HD93160              1         C-D       20.111.847            295.90    1.44      3707.86    67.05     3.99       0.14           Ks      IMG      
  HD93161A             1         A-B       n/a                   -999.00   -999.00   2000.00    -999.00   0.10       -999.00        V       MAS98    
  HD93161A             1         A-B       20.061.886            115.30    -999.00   1982.00    -999.00   0.10       -999.00        ???     MAS09    
  HD93161A             2         A-E       n/a                   -999.00   -999.00   7700.00    -999.00   -999.00    -999.00        V       MAS98    
  HD93161A             3         A-C       n/a                   -999.00   -999.00   12600.00   -999.00   -0.60      -999.00        V       MAS98    
  HD93161A             1         A-B       20.111.847            114.89    1.47      2004.57    37.54     0.07       0.13           H       IMG      
  HD93161A             1         A-B       20.111.847            114.89    1.47      2004.57    37.54     0.07       0.14           Ks      IMG      
  HD93206              1         Aa-Ab     n/a                   -999.00   -999.00   1050.00    -999.00   3.50       -999.00        Hipar   MAS98    
  HD93206              1         Aa-Ab     20.092.598            325.40    0.10      1012.40    1.60      2.70       -999.00        Ha      TOK10    
  HD93206              1         Aa-Ab     20.092.598            325.40    0.10      1008.90    1.00      4.30       -999.00        y       TOK10    
  HD93206              2         A-B       n/a                   -999.00   -999.00   7300.00    -999.00   6.80       -999.00        n/a     MAS98    
  HD93206              3         A-C       n/a                   -999.00   -999.00   8800.00    -999.00   -999.00    -999.00        n/a     MAS98    
  HD93206              4         A-D       20.124.409            331.31    1.45      25.76      0.54      0.42       0.18           H       PIO      
  HD93206              4         A-D       20.121.241            331.02    9.61      28.05      5.41      1.07       0.13           H       SAM      
  HD93206              4         A-D       20.121.241            331.02    9.61      28.05      5.41      1.18       0.20           Ks      SAM      
