  ID                   comp_ID   pair_ID   obs_time              PA        PA_err    sep        sep_err   deltamag   deltamag_err   band    instru   
  HD150958AB           1         A-B       20.124.637            244.80    4.38      320.59     23.93     0.85       0.71           H       IMG      
  HD150958AB           1         A-B       20.124.637            244.80    4.38      320.59     23.93     1.04       0.81           Ks      IMG      
  HD150958AB           2         A-E       20.124.637            322.15    1.46      6644.09    122.65    6.80       0.14           Ks      IMG      
  HD151018             1         A-B       20.124.636            117.67    1.45      2082.85    38.41     4.81       0.17           H       IMG      
  HD151018             1         A-B       20.124.636            117.67    1.45      2082.85    38.41     4.64       0.13           Ks      IMG      
  HD151018             2         A-C       20.124.630            13.01     1.15      7281.75    72.83     6.19       0.17           Ks      IMG      
  HD151515             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD151804             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD152003             1         A-B       20.124.657            90.92     21.55     38.54      23.75     3.50       2.50           H       SAM      
  HD152003             1         A-B       20.124.657            90.92     21.55     38.54      23.75     4.79       0.27           Ks      SAM      
  HD152003             1         A-B       20.124.657            90.92     21.55     38.54      23.75     3.50       2.50           Lp      SAM      
  HD152147             1         A-B       20.126.244            63.78     54.76     0.77       1.05      2.81       0.66           H       PIO      
  HD152219             1         A-B       20.124.657            344.67    7.07      83.59      9.17      2.84       0.14           Ks      SAM      
  HD152219             1         A-B       20.124.657            344.67    7.07      83.59      9.17      2.90       0.14           Lp      SAM      
  HD152219             2         A-C       20.124.607            18.01     2.04      2226.23    69.05     6.87       0.24           Ks      IMG      
  HD152219             3         A-D       20.124.607            332.00    1.75      2911.07    72.93     6.23       0.15           Ks      IMG      
  HD152219             4         A-E       20.124.607            144.85    1.85      5055.46    137.79    4.15       0.13           Ks      IMG      
  HD152219             5         A-F       20.124.607            63.38     1.35      5354.35    84.46     5.08       0.11           Ks      IMG      
  HD152219             6         A-G       20.124.607            174.88    1.42      7208.93    126.02    6.04       0.10           Ks      IMG      
  HD152218             1         A-B       20.124.607            212.85    1.80      4252.60    110.85    3.78       0.12           Ks      IMG      
  HD152233             1         F-G       n/a                   -999.00   -999.00   6500.00    -999.00   6.40       -999.00        V       MAS98    
  HD152233             2         F-H       n/a                   -999.00   -999.00   8600.00    -999.00   3.70       -999.00        V       MAS98    
  HD152233             3         Fa-Fb     20.124.412            60.07     27.46     2.81       0.83      1.96       0.06           H       PIO      
  HD152246             1         Aa-Ab     20.141.504            232.23    2.91      3.34       0.16      0.28       0.02           H       PIO      
  HD152246             1         Aa-Ab     20.142.570            224.92    2.36      3.15       0.10      0.30       0.06           H       PIO      
  HD152246             1         Aa-Ab     20.143.503            217.52    5.65      2.83       0.22      0.26       0.01           H       PIO      
  HD152246             2         A-B       20.124.607            307.35    1.38      3692.15    61.18     7.28       0.25           Ks      IMG      
  HD152248             1         Aa-Ab     n/a                   -999.00   -999.00   50.00      -999.00   -999.00    -999.00        V       MAS98    
  HD152248             1         Aa-Ab     20.061.945            236.50    -999.00   52.00      -999.00   2.00       -999.00        ???     MAS09    
  HD152248             2         A-B       n/a                   -999.00   -999.00   13520.00   -999.00   3.80       -999.00        V       MAS98    
  HD152248             3         A-C       n/a                   -999.00   -999.00   24000.00   -999.00   3.90       -999.00        V       MAS98    
  HD152247             1         Aa-Ab     20.126.244            229.86    7.35      1.24       0.12      1.35       0.02           H       PIO      
  HD152247             1         Aa-Ab     20.142.570            235.38    5.89      1.26       0.10      1.39       0.03           H       PIO      
  HD152247             2         A-B       20.124.607            313.42    1.58      3149.39    67.60     7.24       0.28           Ks      IMG      
  HD152247             3         A-C       20.124.607            22.37     1.38      5112.88    85.22     6.06       0.15           Ks      IMG      
  HD152249             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  CPD$-$41\degr7733    1         A-B       20.124.658            348.18    11.43     42.70      21.36     3.32       0.91           Ks      SAM      
  CPD$-$41\degr7733    1         A-B       20.124.658            348.18    11.43     42.70      21.36     3.07       2.07           Lp      SAM      
  CPD$-$41\degr7733    2         A-C       20.124.607            142.04    3.93      1009.31    66.96     4.83       0.20           Ks      IMG      
  HDE326331            2         A-C       20.111.880            40.40     1.85      1129.32    30.75     5.99       0.18           H       IMG      
  HDE326331            2         A-C       20.111.880            40.40     1.85      1129.32    30.75     5.72       0.29           Ks      IMG      
  HDE326331            3         A-D       20.111.880            324.02    1.48      3410.77    64.71     5.70       0.15           H       IMG      
  HDE326331            3         A-D       20.111.880            324.02    1.48      3410.77    64.71     5.64       0.12           Ks      IMG      
  HDE326331            1         A-B       n/a                   -999.00   -999.00   7300.00    -999.00   2.0        -999.00        V       MAS98    
  HD152314             1         Aa-Ab     20.126.245            276.90    4.46      10.01      0.56      1.16       0.25           H       PIO      
  HD152314             2         A-B       2011.1880-2012.4608   187.29    1.30      3225.23    46.39     3.82       0.14           H       IMG      
  HD152314             2         A-B       2011.1880-2012.4608   187.29    1.30      3225.23    46.39     2.91       0.16           Ks      IMG      
  HD152314             3         A-C       2011.1880-2012.4608   140.54    1.63      3466.11    77.67     7.64       0.41           H       IMG      
  HD152314             3         A-C       2011.1880-2012.4608   140.54    1.63      3466.11    77.67     6.78       0.16           Ks      IMG      
  HD152405             1         A-B       20.124.658            114.93    11.76     53.86      15.46     4.38       0.18           Ks      SAM      
  HD152405             1         A-B       20.124.658            114.93    11.76     53.86      15.46     4.13       0.66           Lp      SAM      
  HD152408             2         A-C       20.124.608            18.94     1.71      3838.91    92.93     8.28       0.21           Ks      IMG      
  HD152408             1         A-B       n/a                   -999.00   -999.00   5400.00    -999.00   -999.00    -999.00        V       MAS98    
  HD152408             1         A-B       20.014.030            260.00    -999.00   5300.00    -999.00   6.67       0.92           I       TUR08    
  HD152408             1         A-B       20.124.608            262.49    1.19      5450.27    61.38     3.81       0.12           Ks      IMG      
  HD152424             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD152386             1         A-B       20.124.442            122.17    1.25      55.97      1.14      3.27       0.17           H       PIO      
  HD152386             1         A-B       20.124.636            120.40    7.55      61.21      8.13      3.34       0.61           H       SAM      
  HD152386             1         A-B       20.124.636            120.40    7.55      61.21      8.13      3.31       0.20           Ks      SAM      
  HD152386             2         A-C       20.124.636            222.47    1.18      3537.47    38.46     6.81       0.37           H       IMG      
  HD152386             2         A-C       20.124.636            222.47    1.18      3537.47    38.46     6.21       0.13           Ks      IMG      
  HD152386             3         A-D       20.124.606            127.00    1.08      7370.50    53.34     0.52       0.12           Ks      IMG      
  HD152623             2         Aa-Ab     20.124.442            284.87    1.04      28.20      0.37      0.83       0.06           H       PIO      
  HD152623             1         A-B       19.930.988            130.60    -999.00   255.00     -999.00   -999.00    -999.00        V       MAS98    
  HD152623             1         A-B       19.961.787            131.30    -999.00   243.00     -999.00   -999.00    -999.00        V       MAS98    
  HD152623             1         A-B       20.062.000            307.40    -999.00   238.00     -999.00   1.30       -999.00        V       MAS09    
  HD152623             1         A-B       20.085.424            307.30    0.10      253.10     0.60      1.70       -999.00        y       TOK10    
  HD152623             1         A-B       20.111.880            307.65    1.61      251.20     5.55      0.01       0.15           H       SAM      
  HD152623             1         A-B       20.111.880            307.65    1.61      251.20     5.55      1.02       0.51           Ks      SAM      
  HD152623             3         A-C       20.111.880            142.90    1.75      1469.36    36.74     3.55       0.18           H       IMG      
  HD152623             3         A-C       20.111.880            142.90    1.75      1469.36    36.74     3.45       0.37           Ks      IMG      
  HD152723             1         Aa-Ab     19.961.788            139.40    -999.00   54.00      -999.00   -999.00    -999.00        V       MAS98    
  HD152723             1         Aa-Ab     20.062.000            125.60    -999.00   98.00      -999.00   1.70       -999.00        ????    MAS09    
  HD152723             1         Aa-Ab     20.111.880            307.80    3.09      104.46     4.02      1.69       0.16           H       SAM      
  HD152723             1         Aa-Ab     20.111.880            307.80    3.09      104.46     4.02      1.51       0.11           Ks      SAM      
  HD152723             1         Aa-Ab     20.124.443            310.55    1.14      80.75      1.00      1.86       0.11           H       PIO      
  HD152723             2         A-B       n/a                   -999.00   -999.00   7000.00    -999.00   5.90       -999.00        V       MAS98    
  HD152723             3         A-C       n/a                   -999.00   -999.00   7600.00    -999.00   2.50       -999.00        V       MAS98    
  HD152723             4         A-D       n/a                   -999.00   -999.00   15700.00   -999.00   3.00       -999.00        V       MAS98    
  HDE322417            1         Aa-Ab     20.142.571            8.14      81.25     1.08       4.96      4.30       1.75           H       PIO      
  HDE322417            2         A-B       20.124.635            242.53    8.15      690.41     98.18     4.48       0.34           H       IMG      
  HDE322417            2         A-B       20.124.635            242.53    8.15      690.41     98.18     4.31       0.41           Ks      IMG      
  HDE322417            3         A-C       20.124.609            180.49    1.47      2918.81    55.03     7.10       0.31           Ks      IMG      
  HDE322417            4         A-D       20.124.635            164.31    1.36      4320.61    69.20     7.35       0.42           H       IMG      
  HDE322417            4         A-D       20.124.635            164.31    1.36      4320.61    69.20     6.67       0.31           Ks      IMG      
  HDE322417            5         A-E       20.124.609            249.65    1.37      6172.74    100.24    5.34       0.14           Ks      IMG      
  HDE322417            6         A-F       20.124.609            283.68    1.23      6591.17    82.01     7.00       0.32           Ks      IMG      
  HD153426             1         A-B       20.124.635            147.36    2.00      1995.36    60.23     6.96       0.37           H       IMG      
  HD153426             1         A-B       20.124.635            147.36    2.00      1995.36    60.23     6.66       0.22           Ks      IMG      
  HD153426             2         A-C       20.124.635            102.53    1.50      3371.40    65.86     7.33       0.45           H       IMG      
  HD153426             2         A-C       20.124.635            102.53    1.50      3371.40    65.86     6.88       0.18           Ks      IMG      
  HD153919             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD154368             1         A-B       n/a                   -999.00   -999.00   2800.00    -999.00   6.60       -999.00        V       MAS98    
  HD154368             1         A-B       20.026.730            357.00    -999.00   2570.00    -999.00   6.28       0.54           I       TUR08    
  HD154368             2         A-C       20.124.609            231.95    1.20      6742.77    77.29     5.86       0.13           Ks      IMG      
  HD154643             1         A-B       20.124.609            52.48     3.16      1943.22    101.83    7.74       0.32           Ks      IMG      
  HD154811             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD155806             1         A-B       20.126.328            273.36    1.87      24.87      0.68      0.37       0.05           H       PIO      
  HD155806             1         A-B       20.124.635            259.31    10.69     25.80      8.88      1.25       0.27           H       SAM      
  HD155806             1         A-B       20.124.635            259.31    10.69     25.80      8.88      1.61       0.61           Ks      SAM      
  HD155806             2         A-C       20.124.636            132.98    1.62      5133.66    114.17    7.99       0.32           H       IMG      
  HD155806             2         A-C       20.124.636            132.98    1.62      5133.66    114.17    7.92       0.19           Ks      IMG      
  HD155889             1         A-B       n/a                   -999.00   -999.00   190.00     -999.00   0.70       -999.00        n/a     MAS98    
  HD155889             1         A-B       20.036.041            285.00    -999.00   190.00     -999.00   0.68       2.59           I       TUR08    
  HD155889             1         A-B       20.061.945            282.20    -999.00   186.00     -999.00   0.60       -999.00        n/a     MAS09    
  HD155889             1         A-B       20.085.398            282.00    0.10      195.90     0.20      0.70       -999.00        y       TOK10    
  HD155889             1         A-B       20.085.398            282.00    0.10      196.00     0.80      1.00       -999.00        Ha      TOK10    
  HD155889             1         A-B       20.124.445            262.44    0.50      115.72     0.71      0.79       0.11           H       PIO      
  HD155889             1         A-B       20.124.636            279.28    2.47      193.67     7.09      1.13       0.13           H       SAM      
  HD155889             1         A-B       20.124.636            279.28    2.47      193.67     7.09      0.65       0.11           Ks      SAM      
  HD155889             2         A-C       20.124.609            270.56    1.12      7084.54    63.29     5.60       0.14           Ks      IMG      
  HD155913             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD156154             1         A-B       20.124.611            354.71    1.17      6822.53    72.55     5.63       0.14           Ks      IMG      
  HD156212             1         A-B       20.014.959            206.00    -999.00   4040.00    -999.00   8.05       0.39           I       TUR08    
  HD156212             2         A-C       20.014.959            145.00    -999.00   7410.00    -999.00   7.40       0.24           I       TUR08    
  HD156292             1         A-B       20.124.608            19.74     1.21      6349.85    74.54     3.00       0.12           Ks      IMG      
  LS4067A              1         A-B       20.061.971            333.1     -999.99   1325.00    -999.00   1.2        -999.00        ???     MAS09    
  HDE319699            0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HDE319703A           1         A-B       20.124.661            14.23     2.66      185.05     5.52      3.80       1.85           H       SAM      
  HDE319703A           1         A-B       20.124.661            14.23     2.66      185.05     5.52      2.76       0.14           Ks      SAM      
  HDE319703A           1         A-B       20.124.661            14.23     2.66      185.05     5.52      2.46       0.11           Lp      SAM      
  HDE319703A           2         A-C       20.124.611            298.35    1.11      7885.17    65.35     5.53       0.13           Ks      IMG      
  HD156738             1         A-B       20.124.445            260.97    0.38      50.38      0.32      1.29       0.09           H       PIO      
  HD156738             1         A-B       20.124.661            259.73    5.76      50.40      4.69      1.15       0.18           H       SAM      
  HD156738             1         A-B       20.124.661            259.73    5.76      50.40      4.69      1.30       0.10           Ks      SAM      
  HD156738             1         A-B       20.124.661            259.73    5.76      50.40      4.69      1.33       0.30           Lp      SAM      
  HDE319718A           1         A-B       20.124.611            206.11    6.44      381.92     42.56     0.24       0.68           Ks      IMG      
  HDE319718A           2         A-C       20.124.611            253.77    1.18      4165.58    46.16     4.81       0.14           Ks      IMG      
  HDE319718A           3         A-D       20.124.611            45.83     1.23      4411.28    55.60     6.44       0.19           Ks      IMG      
  HDE319718A           4         A-E       20.124.611            92.10     1.65      5266.54    120.64    7.35       0.32           Ks      IMG      
  HDE319718A           5         A-F       20.124.611            307.54    1.21      5334.09    64.19     7.50       0.35           Ks      IMG      
  HDE319718A           6         A-G       20.124.611            292.39    1.14      6945.02    65.91     6.46       0.14           Ks      IMG      
  HD158186             1         A-B       20.124.445            201.07    1.00      26.90      0.38      2.13       0.06           H       PIO      
  HD158186             1         A-B       20.124.661            200.97    12.82     34.47      14.74     2.04       1.04           Ks      SAM      
  HD158186             1         A-B       20.124.661            200.97    12.82     34.47      14.74     3.50       2.50           Lp      SAM      
  HD158186             2         A-C       20.124.611            315.88    2.61      1830.86    76.91     5.95       0.17           Ks      IMG      
  HD158186             3         A-D       20.124.611            0.97      1.22      5035.93    61.38     5.06       0.17           Ks      IMG      
  HD158186             4         A-E       20.124.611            64.71     1.46      6665.63    124.03    6.40       0.15           Ks      IMG      
  HD159176             4         Aa1-Aa2   20.126.310            162.32    64.13     1.76       2.22      2.39       1.75           H       PIO      
  HD159176             4         Aa1-Aa2   20.126.354            72.25     16.28     6.13       1.35      3.74       0.27           H       PIO      
  HD159176             4         Aa1-Aa2   20.127.229            122.81    15.53     4.39       0.97      1.31       1.75           H       PIO      
  HD159176             1         Aa-Ab     n/a                   -999.00   -999.00   270.00     -999.00   -999.00    -999.00        V       MAS98    
  HD159176             2         Aa-D      n/a                   -999.00   -999.00   740.00     -999.00   3.20       -999.00        V       MAS98    
  HD159176             2         Aa-D      20.033.280            59.00     -999.00   700.00     -999.00   3.14       0.47           I       MAS09    
  HD159176             2         Aa-D      20.124.611            60.80     4.03      734.91     50.14     2.92       0.28           Ks      IMG      
  HD159176             5         Aa-E      20.124.611            77.81     1.38      3498.49    57.68     6.85       0.15           Ks      IMG      
  HD159176             3         Aa-B      n/a                   -999.00   -999.00   5400.00    -999.00   4.80       -999.00        V       MAS98    
  HD159176             3         Aa-B      20.124.611            98.95     1.42      5736.92    100.65    4.36       0.17           Ks      IMG      
  HD159176             6         Aa-C      n/a                   -999.00   -999.00   13300.00   -999.00   3.20       -999.00        V       MAS98    
  HD162978             1         A-B       2011.1881-2013.5802   42.54     1.14      4461.01    42.10     6.76       0.25           H       IMG      
  HD162978             1         A-B       2011.1881-2013.5802   42.54     1.14      4461.01    42.10     5.65       0.16           Ks      IMG      
  HD163800             1         A-B       20.124.631            221.20    1.54      3894.54    79.56     7.44       0.25           Ks      IMG      
  HD163800             2         A-C       20.124.631            46.31     1.27      6177.54    84.49     6.52       0.18           Ks      IMG      
  HD163800             3         A-D       20.124.631            301.87    1.25      6875.77    89.63     5.60       0.13           Ks      IMG      
  HD163800             4         A-E       20.124.631            349.04    1.15      7855.52    77.29     6.12       0.22           Ks      IMG      
  HD163892             1         A-B       20.124.631            91.82     2.17      2013.57    67.63     5.31       0.14           Ks      IMG      
  HD163892             2         A-C       20.124.631            265.06    1.91      2446.48    69.29     5.87       0.15           Ks      IMG      
  HD163892             3         A-D       20.124.631            84.14     1.11      6448.23    53.54     6.31       0.14           Ks      IMG      
  HD163892             4         A-E       20.124.631            62.94     1.15      6498.34    63.56     5.05       0.12           Ks      IMG      
  HD163758             1         A-B       20.014.906            107.00    -999.00   1700.00    -999.00   8.05       0.33           I       TUR08    
  HD164438             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD164492A            4         Aa-Ab     20.127.203            261.60    3.27      24.54      1.11      3.17       0.15           H       PIO      
  HD164492A            4         Aa-Ab     2012.4658-2013.5803   248.37    11.24     33.48      15.20     2.74       0.71           H       SAM      
  HD164492A            4         Aa-Ab     2012.4658-2013.5803   248.37    11.24     33.48      15.20     2.41       1.42           Ks      SAM      
  HD164492A            3         A-H       20.024.516            342.00    -999.00   1480.00    -999.00   5.12       0.23           I       TUR08    
  HD164492A            3         A-H       2012.4659-2013.5803   343.84    1.51      1492.91    29.49     3.29       0.15           H       IMG      
  HD164492A            3         A-H       2012.4659-2013.5803   343.84    1.51      1492.91    29.49     2.67       0.14           Ks      IMG      
  HD164492A            5         A-I       2012.4659-2013.5803   43.01     1.53      3090.18    62.68     6.16       0.54           H       IMG      
  HD164492A            5         A-I       2012.4659-2013.5803   43.01     1.53      3090.18    62.68     4.23       0.18           Ks      IMG      
  HD164492A            1         A-B       n/a                   -999.00   -999.00   6250.00    -999.00   2.90       -999.00        V       MAS98    
  HD164492A            1         A-B       20.124.659            19.07     1.15      6260.56    62.36     2.43       0.11           Ks      IMG      
  HD164492A            6         A-J       20.124.659            164.29    1.12      6460.20    57.82     5.55       0.18           Ks      IMG      
  HD164492A            2         A-C       n/a                   -999.00   -999.00   10800.00   -999.00   1.40       -999.00        V       MAS98    
  HD164740             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD164794             1         A-B       20.132.495            242.22    19.95     4.96       1.05      0.45       0.05           H       PIO      
  HD164816             1         A-B       20.127.203            87.25     2.91      56.93      2.06      3.47       0.24           H       PIO      
  HD164816             1         A-B       2012.4659-2013.5803   81.08     7.23      57.24      5.19      3.30       0.20           H       SAM      
  HD164816             1         A-B       2012.4659-2013.5803   81.08     7.23      57.24      5.19      3.20       0.13           Ks      SAM      
  HD165052             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HDE313846            1         A-C       20.124.659            21.22     1.15      5566.27    55.95     4.54       0.18           Ks      IMG      
  HDE313846            2         A-D       20.124.659            185.56    1.13      5577.11    50.62     4.02       0.15           Ks      IMG      
  HDE313846            3         A-E       20.124.659            182.86    1.07      7863.88    53.82     5.01       0.18           Ks      IMG      
  HD165246             1         A-B       n/a                   -999.00   -999.00   1900.00    -999.00   4.00       -999.00        V       MAS98    
  HD165246             1         A-B       20.024.819            98.00     -999.00   1900.00    -999.00   3.68       0.47           I       TUR08    
  HD165246             2         Aa-Ab     2012.4659-2013.5804   116.22    17.55     30.47      16.07     2.36       1.37           H       SAM      
  HD165246             2         Aa-Ab     2012.4659-2013.5804   116.22    17.55     30.47      16.07     2.77       1.77           Ks      SAM      
  HD165246             1         A-B       2012.4659-2013.5804   97.29     1.53      1928.24    38.80     3.36       0.14           H       IMG      
  HD165246             1         A-B       2012.4659-2013.5804   97.29     1.53      1928.24    38.80     3.29       0.11           Ks      IMG      
  HD165246             3         A-C       20.124.659            224.89    1.11      6608.05    55.35     5.66       0.23           Ks      IMG      
  HD165246             4         A-D       20.124.659            8.24      1.16      7940.76    80.52     5.98       0.26           Ks      IMG      
  HD165921             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD166546             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD166734             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD167264             2         Aa-Ab     20.124.473            124.83    68.24     2.04       3.28      3.21       0.16           H       PIO      
  HD167264             2         Aa-Ab     20.126.331            189.10    49.62     2.22       1.77      2.90       0.39           H       PIO      
  HD167264             2         Aa-Ab     20.127.123            198.95    52.86     3.34       3.33      3.19       0.15           H       PIO      
  HD167264             2         Aa-Ab     20.127.150            203.37    15.39     3.27       0.71      3.17       0.06           H       PIO      
  HD167264             1         A-B       20.086.055            76.30     0.10      1272.80    2.50      5.40       -999.00        Ha      TOK10    
  HD167264             1         A-B       20.086.055            76.40     0.10      1270.90    1.40      5.20       -999.00        y       TOK10    
  HD167264             1         A-B       20.124.661            75.06     3.72      1260.25    78.91     5.09       0.16           Ks      IMG      
  HD167264             3         A-C       20.124.661            356.12    2.55      2314.54    94.70     7.75       0.26           Ks      IMG      
  HD167264             4         A-D       20.124.661            108.44    1.25      7045.44    91.60     7.02       0.19           Ks      IMG      
  HD167263             1         Aa-Ab     n/a                   -999.00   -999.00   50.00      -999.00   -999.00    -999.00        n/a     MAS98    
  HD167263             1         Aa-Ab     20.061.946            149.70    -999.00   69.00      -999.00   2.00       -999.00        n/a     MAS09    
  HD167263             1         Aa-Ab     20.124.474            154.60    0.47      79.30      0.43      0.62       0.17           H       PIO      
  HD167263             1         Aa-Ab     20.124.661            333.47    6.85      84.21      7.93      1.00       0.13           Ks      SAM      
  HD167263             2         A-B       n/a                   -999.00   -999.00   6000.00    -999.00   7.00       -999.00        V       MAS98    
  HD167263             2         A-B       20.056.545            216.00    -999.00   5930.00    -999.00   5.62       0.98           I       TUR08    
  HD167263             3         A-B       20.124.661            214.87    1.23      6109.81    77.01     5.79       0.30           Ks      IMG      
  HD167263             2         A-C       20.124.661            27.25     1.43      5891.57    105.53    7.55       0.31           Ks      IMG      
  HD167263             4         A-D       20.124.661            280.85    1.28      6514.22    90.93     7.16       0.25           Ks      IMG      
  HD167263             5         A-E       20.124.661            242.37    1.35      7336.15    115.99    7.32       0.28           Ks      IMG      
  HD167633             1         A-B       20.124.633            117.49    1.41      5056.20    87.16     5.59       0.16           Ks      IMG      
  HD167633             2         A-C       20.124.633            197.96    1.31      5504.77    80.73     3.27       0.12           Ks      IMG      
  HD167633             3         A-D       20.124.633            259.30    1.15      6811.84    67.02     5.72       0.20           Ks      IMG      
  HD167659             1         Aa-Ab     n/a                   -999.00   -999.00   80.00      -999.00   -999.00    -999.00        n/a     MAS98    
  HD167659             1         Aa-Ab     20.124.447            266.32    1.70      50.59      1.25      2.63       0.10           H       PIO      
  HD167659             1         Aa-Ab     20.124.633            265.27    14.36     46.66      17.88     2.54       0.10           Ks      SAM      
  HD167659             2         A-C       20.124.633            87.96     1.37      5114.42    83.22     5.90       0.11           Ks      IMG      
  HD167659             3         A-D       20.124.633            247.18    1.28      5778.69    79.94     6.96       0.15           Ks      IMG      
  HD167659             4         A-E       20.124.633            57.65     1.13      7301.07    67.52     7.34       0.26           Ks      IMG      
  HD167771             1         A-B       n/a                   -999.00   -999.00   8400.00    -999.00   6.50       -999.00        V       MAS98    
  HD167771             1         A-B       n/a                   168.78    0.40      8548.00    22.00     5.93       0.06           z       MAI10    
  BD$-$11\degr4586     1         A-B       20.124.634            68.08     1.16      7210.21    73.27     4.36       0.10           Ks      IMG      
  HD167971             1         A-B       20.017.447            80.00     -999.00   4700.00    -999.00   8.12       0.32           I       TUR08    
  HD167971             2         Aa-Ab     20.127.233            336.02    1.78      17.02      0.38      0.09       0.03           H       PIO      
  HD167971             1         A-B       20.124.634            40.46     1.33      4839.66    74.66     7.85       0.13           Ks      IMG      
  HD168075             1         A-B       20.124.634            49.39     18.53     44.14      27.02     3.70       1.04           Ks      SAM      
  HD168075             2         A-C       20.124.634            297.20    1.79      2738.68    70.91     5.82       0.33           Ks      IMG      
  HD168075             3         A-D       20.124.634            138.50    1.68      3481.95    81.90     4.13       0.12           Ks      IMG      
  HD168075             4         A-E       20.124.634            67.79     1.72      5805.33    141.34    6.58       0.22           Ks      IMG      
  HD168076AB           1         A-B       20.062.001            314.00    -999.00   144.00     -999.00   0.70       -999.00        n/a     MAS09    
  HD168076AB           1         A-B       20.124.447            307.07    1.09      116.90     1.26      1.46       0.13           H       PIO      
  HD168076AB           1         A-B       20.126.249            309.74    0.78      101.96     0.81      1.41       0.13           H       PIO      
  HD168076AB           1         A-B       20.124.634            308.90    3.19      157.01     9.53      1.02       0.13           Ks      SAM      
  HD168076AB           2         A-C       20.124.634            4.93      1.73      3686.78    91.01     7.14       0.20           Ks      IMG      
  HD168076AB           3         A-D       20.124.634            245.80    1.70      3726.96    89.40     5.58       0.14           Ks      IMG      
  HD168076AB           4         A-E       20.124.634            176.71    1.78      3775.70    97.25     7.58       0.21           Ks      IMG      
  HD168076AB           5         A-F       20.124.634            126.42    1.30      5918.67    86.21     6.06       0.12           Ks      IMG      
  HD168076AB           6         A-G       20.124.634            303.13    1.41      6580.90    113.43    5.53       0.23           Ks      IMG      
  BD$-$13\degr4927     1         A-B       20.124.634            343.67    1.56      5108.53    106.49    7.86       0.19           Ks      IMG      
  BD$-$13\degr4927     2         A-C       20.124.634            249.14    1.22      5116.92    62.17     7.43       0.26           Ks      IMG      
  BD$-$13\degr4927     3         A-D       20.124.634            205.91    1.35      5494.42    87.26     4.63       0.12           Ks      IMG      
  BD$-$13\degr4927     4         A-E       20.124.634            241.47    1.42      6157.74    108.84    6.72       0.25           Ks      IMG      
  HD168112             1         A-B       20.124.446            303.27    4.12      3.33       0.17      0.17       0.19           H       PIO      
  HD168112             2         A-C       20.124.634            33.85     2.25      3004.49    105.45    7.07       0.19           Ks      IMG      
  HD168112             3         A-D       20.124.634            266.84    2.02      7623.41    234.24    7.37       0.22           Ks      IMG      
  HD169515             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD169582             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD171589             1         A-B       20.127.205            323.19    64.31     2.80       3.63      3.00       1.49           H       PIO      
  HD171589             1         A-B       20.145.755            70.68     37.16     1.24       1.81      2.74       0.61           H       PIO      
  HD171589             1         A-B       20.145.863            71.56     40.90     1.26       1.20      3.01       0.40           H       PIO      
  HD173010             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD175754             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD175876             0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD46056A             1         A-B       20.080.577            336.50    0.09      10419.00   18.00     2.78       0.10           z       MAI10    
  HD46149              0         n/a       n/a                   n/a       n/a       n/a        n/a       n/a        n/a            n/a              
  HD46150              1         A-B       n/a                   -999.00   -999.00   3200.00    -999.00   6.50       -999.00        V       MAS98    
  HD46150              1         A-B       20.010.989            284.00    -999.00   3470.00    -999.00   4.87       0.13           I       TUR08    
  HD46150              1         A-B       20.111.843            285.03    1.59      3525.26    76.40     4.38       0.15           H       IMG      
  HD46150              1         A-B       20.111.843            285.03    1.59      3525.26    76.40     4.38       0.14           Ks      IMG      
  HD46150              1         A-B       20.080.578            286.53    0.20      3516.00    17.00     4.33       0.04           z       MAI10    
  HD46150              2         A-C       n/a                   -999.00   -999.00   6900.00    -999.00   5.00       -999.00        V       MAS98    
  HD46150              2         A-C       20.080.578            319.67    0.12      6853.00    17.00     5.98       0.10           z       MAI10    
